City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,San Patricio,US,2021-09-18 20:01:28,28.017,-97.5169,96.17,38,36,7.43
207,Sergeyevka,KZ,2021-09-18 20:01:28,53.88,67.4158,42.24,87,96,13.02
208,Lubao,PH,2021-09-18 20:01:28,14.9167,120.55,80.15,89,10,3.53
209,Prainha,BR,2021-09-18 20:01:29,-1.8,-53.48,90.45,47,97,3.94
210,Singapore,SG,2021-09-18 20:01:29,1.2897,103.8501,78.66,94,75,2.3
211,Sagua La Grande,CU,2021-09-18 20:01:29,22.8067,-80.0756,87.67,62,100,12.62
212,Minden,DE,2021-09-18 20:00:44,52.2833,8.9167,60.78,88,100,8.05
213,Agadir,MA,2021-09-18 19:59:58,30.4202,-9.5982,72.05,81,0,7.61
214,Mildura,AU,2021-09-18 20:01:30,-34.2,142.15,45.72,70,0,8.05
215,Itai,BR,2021-09-18 20:01:30,-23.4178,-49.0906,90.93,27,44,9.24
216,La Ronge,CA,2021-09-18 20:01:30,55.1001,-105.2842,59.85,45,100,6.24
217,Butler,US,2021-09-18 19:58:42,39.4501,-84.5666,91.51,47,40,1.01
218,Emerald,AU,2021-09-18 20:01:31,-23.5333,148.1667,58.03,81,0,7.87
219,Saldanha,ZA,2021-09-18 20:01:31,-33.0117,17.9442,57.27,82,73,18.23
220,Grass Valley,US,2021-09-18 19:58:15,39.2191,-121.0611,75.34,39,1,1.99
221,Saskylakh,RU,2021-09-18 20:01:32,71.9167,114.0833,23.63,97,72,2.46
222,Nuuk,GL,2021-09-18 19:57:16,64.1835,-51.7216,39.33,56,1,6.76
223,Zdvinsk,RU,2021-09-18 20:01:32,54.7021,78.661,44.65,70,100,9.93
224,Novikovo,RU,2021-09-18 20:01:32,51.1537,37.8879,49.62,74,100,18.79
225,Songjianghe,CN,2021-09-18 20:01:32,42.1859,127.479,50.59,74,100,4.5
226,Plainview,US,2021-09-18 20:01:33,40.7765,-73.4673,86.88,65,40,1.01
227,Deputatskiy,RU,2021-09-18 19:59:55,69.3,139.9,23.04,97,100,12.35
228,Matara,LK,2021-09-18 20:01:25,5.9485,80.5353,78.49,90,90,6.51
229,Kaitangata,NZ,2021-09-18 20:01:33,-46.2817,169.8464,40.8,81,100,3.71
230,Sola,VU,2021-09-18 20:01:34,-13.8833,167.55,79.36,79,28,21.92
231,Marabba,SD,2021-09-18 20:01:34,12.35,32.1833,76.75,75,100,7.18
232,Beloha,MG,2021-09-18 20:01:34,-25.1667,45.05,64.26,52,91,9.37
233,Port Augusta,AU,2021-09-18 19:58:03,-32.5,137.7667,42.94,75,0,4.12
234,Port Blair,IN,2021-09-18 20:01:35,11.6667,92.75,79.92,85,70,6.35
235,Bangkalan,ID,2021-09-18 20:01:35,-7.0455,112.7351,76.95,80,69,2.48
236,Manta,EC,2021-09-18 20:01:35,-0.95,-80.7333,76.98,73,61,15.43
237,Codrington,AU,2021-09-18 20:01:36,-38.2667,141.9667,52.84,70,100,20.92
238,Garowe,SO,2021-09-18 20:01:36,8.4054,48.4845,80.02,63,13,10.94
239,Mangrol,IN,2021-09-18 20:01:36,21.1167,70.1167,80.1,90,100,7.0
240,Trogir,HR,2021-09-18 20:01:37,43.5125,16.2517,72.79,73,0,5.75
241,Coihaique,CL,2021-09-18 20:00:57,-45.5752,-72.0662,43.93,84,93,6.46
242,Upernavik,GL,2021-09-18 19:59:45,72.7868,-56.1549,22.75,54,24,5.79
243,Mahebourg,MU,2021-09-18 20:01:37,-20.4081,57.7,68.25,77,88,6.06
244,Purpe,RU,2021-09-18 20:01:38,64.4803,76.6897,37.74,97,100,20.67
245,Businga,CD,2021-09-18 19:59:12,3.3333,20.8833,72.57,91,91,0.54
246,Olimpia,BR,2021-09-18 20:01:38,-20.7372,-48.9147,98.71,13,8,6.71
247,Clyde River,CA,2021-09-18 20:01:38,70.4692,-68.5914,31.21,69,96,9.53
248,Pacific Grove,US,2021-09-18 19:59:00,36.6177,-121.9166,77.58,71,1,1.01
249,Belogorsk,RU,2021-09-18 20:01:39,50.9158,128.4611,40.37,72,2,7.74
250,Rio Grande,BR,2021-09-18 20:01:39,-32.035,-52.0986,65.95,83,33,7.14
251,Standerton,ZA,2021-09-18 20:01:39,-26.9337,29.2415,53.92,53,0,7.7
252,Vila Franca Do Campo,PT,2021-09-18 20:01:40,37.7167,-25.4333,70.21,72,83,6.82
