City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Piney Green,US,34.716,-77.3202,71.55,93,1,5.75,clear sky
290,Sakakah,SA,29.9697,40.2064,71.1,48,0,7.31,clear sky
291,Ambon,ID,-3.6954,128.1814,78.94,94,40,4.61,scattered clouds
292,Boguchany,RU,58.3814,97.4531,37.74,80,99,1.66,overcast clouds
293,Lavrentiya,RU,65.5833,-171.0,32.9,70,100,5.14,overcast clouds
294,Naze,JP,28.3667,129.4833,79.92,62,0,12.95,clear sky
295,Chingirlau,KZ,51.095,54.0814,56.91,37,100,20.38,light rain
296,Mount Gambier,AU,-37.8333,140.7667,57.11,62,90,21.85,overcast clouds
297,Meridian,US,43.6121,-116.3915,67.78,46,1,0.0,clear sky
298,Renfrew,GB,55.872,-4.3925,57.52,89,90,21.85,overcast clouds
299,Tuy Hoa,VN,13.0833,109.3,81.45,77,100,2.28,overcast clouds
300,Luderitz,NA,-26.6481,15.1594,57.88,59,13,12.08,few clouds
301,Chapleau,CA,47.8405,-83.4034,41.56,97,100,7.9,light rain
302,Carutapera,BR,-1.195,-46.02,79.45,77,44,9.26,scattered clouds
303,Fort Nelson,CA,58.8053,-122.7002,45.81,52,100,6.42,overcast clouds
304,Clyde River,CA,70.4692,-68.5914,27.27,72,25,6.78,scattered clouds
305,Ketchikan,US,55.3422,-131.6461,55.38,97,100,8.61,heavy intensity rain
306,Bashmakovo,RU,53.2133,43.0342,42.58,85,69,4.74,broken clouds
307,Saurimo,AO,-9.6608,20.3916,60.75,94,99,4.34,overcast clouds
308,Fontem,CM,5.4685,9.8818,64.38,87,89,1.97,overcast clouds
309,Le Port,RE,-20.9373,55.2919,69.76,70,0,3.71,clear sky
310,Half Moon Bay,US,37.4636,-122.4286,80.42,90,90,0.0,mist
311,Akyab,MM,20.15,92.9,81.77,83,99,7.31,overcast clouds
312,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,82,75,5.75,broken clouds
313,Hofn,IS,64.2539,-15.2082,41.83,72,99,17.22,overcast clouds
314,Rudbar,AF,30.15,62.6,77.2,18,0,5.12,clear sky
315,Bouar,CF,5.934,15.596,64.92,94,100,1.81,overcast clouds
316,Galveston,US,29.3669,-94.9669,74.97,63,1,3.44,clear sky
317,Porto Santo,PT,33.072,-16.3415,70.18,73,40,8.05,scattered clouds
318,Rawson,AR,-43.3002,-65.1023,59.31,45,69,20.6,broken clouds
319,Machali,CL,-34.1833,-70.6667,58.87,45,0,3.04,clear sky
320,Huatulco,MX,15.8436,-96.3267,75.87,89,93,3.47,overcast clouds
321,Shimoda,JP,34.6667,138.95,79.32,63,17,8.75,few clouds
322,Severobaykalsk,RU,55.65,109.3167,46.51,63,100,3.67,overcast clouds
323,Angoram,PG,-4.0625,144.0661,86.56,65,96,3.47,overcast clouds
324,Sistranda,NO,63.7256,8.834,47.89,70,100,14.34,overcast clouds
325,Torrington,US,41.8007,-73.1212,75.15,96,95,5.99,moderate rain
326,Kontagora,NG,10.3999,5.4695,72.95,91,94,2.86,overcast clouds
327,Acapulco,MX,16.8634,-99.8901,80.89,85,92,5.75,overcast clouds
328,Guayaramerin,BO,-10.8368,-65.3614,85.89,41,87,2.84,overcast clouds
329,Mehriz,IR,31.5917,54.4318,74.75,15,0,6.76,clear sky
330,Cayenne,GF,4.9333,-52.3333,82.09,83,32,3.0,scattered clouds
331,Sainte-Rose,GP,16.3324,-61.6979,78.84,89,0,2.3,clear sky
332,Turukhansk,RU,65.8167,87.9833,33.6,87,12,12.53,few clouds
333,Kieta,PG,-6.2167,155.6333,83.5,72,99,5.66,light rain
334,Lingao,CN,19.9103,109.6859,82.92,82,100,15.64,light rain
335,Flinders,AU,-34.5833,150.8552,80.06,35,0,8.99,clear sky
336,Montego Bay,JM,18.4712,-77.9188,78.6,73,20,4.61,few clouds
337,Maine-Soroa,NE,13.2114,12.0241,79.03,64,47,8.08,scattered clouds
338,Byron Bay,AU,-28.65,153.6167,84.31,42,0,13.38,clear sky
339,Straumen,NO,63.8709,11.2999,44.6,81,98,7.27,overcast clouds
340,Ambulu,ID,-8.345,113.6058,79.41,77,99,3.09,overcast clouds
341,Mamou,GN,10.5,-12.0,68.22,93,100,1.63,overcast clouds
342,Zaton,RU,53.2936,83.8072,38.79,100,90,11.18,fog
343,Kirkland Lake,CA,48.1446,-80.0377,47.23,99,100,2.84,overcast clouds
344,Ucluelet,CA,48.9329,-125.5528,59.04,86,49,6.89,scattered clouds
345,Weligama,LK,5.9667,80.4167,82.13,79,89,11.74,overcast clouds
